target,feature,importance
delta_N,N,1054
delta_N,P,859
delta_N,K,681
delta_N,EC,837
delta_N,pH,614
delta_N,moisture,391
delta_N,temp,776
delta_N,growth_stage,45
delta_N,hour_of_day,0
delta_N,delta_N,0
delta_N,delta_P,0
delta_N,delta_K,0
delta_N,delta_moisture,0
delta_N,rolling_avg_EC,155
delta_N,rolling_avg_N,188
delta_N,EC_per_moisture,563
delta_N,pH_error,700
delta_N,N_K_ratio,727
delta_N,moisture_x_EC,507
delta_N,deviation_score,733
delta_P,N,721
delta_P,P,1311
delta_P,K,808
delta_P,EC,833
delta_P,pH,582
delta_P,moisture,424
delta_P,temp,708
delta_P,growth_stage,46
delta_P,hour_of_day,0
delta_P,delta_N,0
delta_P,delta_P,0
delta_P,delta_K,0
delta_P,delta_moisture,0
delta_P,rolling_avg_EC,151
delta_P,rolling_avg_N,118
delta_P,EC_per_moisture,587
delta_P,pH_error,609
delta_P,N_K_ratio,714
delta_P,moisture_x_EC,556
delta_P,deviation_score,738
delta_K,N,704
delta_K,P,886
delta_K,K,1181
delta_K,EC,816
delta_K,pH,607
delta_K,moisture,375
delta_K,temp,830
delta_K,growth_stage,44
delta_K,hour_of_day,0
delta_K,delta_N,0
delta_K,delta_P,0
delta_K,delta_K,0
delta_K,delta_moisture,0
delta_K,rolling_avg_EC,157
delta_K,rolling_avg_N,123
delta_K,EC_per_moisture,572
delta_K,pH_error,647
delta_K,N_K_ratio,731
delta_K,moisture_x_EC,531
delta_K,deviation_score,725
irrigation_ml,N,568
irrigation_ml,P,961
irrigation_ml,K,657
irrigation_ml,EC,1013
irrigation_ml,pH,382
irrigation_ml,moisture,287
irrigation_ml,temp,1210
irrigation_ml,growth_stage,80
irrigation_ml,hour_of_day,0
irrigation_ml,delta_N,0
irrigation_ml,delta_P,0
irrigation_ml,delta_K,0
irrigation_ml,delta_moisture,0
irrigation_ml,rolling_avg_EC,187
irrigation_ml,rolling_avg_N,91
irrigation_ml,EC_per_moisture,933
irrigation_ml,pH_error,435
irrigation_ml,N_K_ratio,478
irrigation_ml,moisture_x_EC,787
irrigation_ml,deviation_score,570
pH_adj,N,650
pH_adj,P,914
pH_adj,K,789
pH_adj,EC,830
pH_adj,pH,904
pH_adj,moisture,378
pH_adj,temp,797
pH_adj,growth_stage,9
pH_adj,hour_of_day,0
pH_adj,delta_N,0
pH_adj,delta_P,0
pH_adj,delta_K,0
pH_adj,delta_moisture,0
pH_adj,rolling_avg_EC,142
pH_adj,rolling_avg_N,125
pH_adj,EC_per_moisture,534
pH_adj,pH_error,896
pH_adj,N_K_ratio,676
pH_adj,moisture_x_EC,563
pH_adj,deviation_score,666
